0.13039,-0.087357,0.41279,-0.16734,0.65878,0.024503,-0.26394,-0.11944,0.15841,-0.56037,0.024604,1
0.16348,0.2337,0.089495,-0.29368,-0.62404,-0.14959,-0.11698,0.13878,0.039835,-0.087519,0.44725,1
-0.39794,-0.018802,-0.11947,0.22202,0.28839,-0.38208,0.099211,0.040485,-0.58018,0.5635,-0.093547,1
-0.081701,0.12149,-0.15527,-0.2166,0.0026989,0.29413,-0.51392,-0.098111,-0.61063,0.36919,0.51155,1
0.029154,-0.29572,0.017818,-0.59503,-0.099891,0.29168,0.015032,0.26537,-0.45497,0.26948,-0.070567,1
-0.011312,0.36228,0.52663,-0.13431,-0.23628,0.11845,0.11279,0.32634,0.070144,-0.12965,-0.42953,1
-0.30292,0.5117,0.35916,-0.36685,0.50805,-0.24096,-0.2402,-0.15773,-0.16714,0.2408,-0.23995,1
0.13682,0.47275,-0.15703,0.0023088,-0.2457,-0.26348,-0.46937,0.289,-0.19822,-0.44081,0.22282,1
0.11191,0.35987,-0.16988,-0.13402,0.64647,-0.14064,0.20778,-0.080353,0.37525,-0.054736,-0.27081,1
-0.1663,-0.48947,0.62204,-0.36542,0.052738,0.042513,-0.096383,-0.35777,0.055201,-0.42387,-0.28214,1
0.071472,0.4598,-0.0027903,0.42259,0.3732,0.21563,0.15717,-0.1894,0.51997,-0.053993,-0.14075,1
0.1671,0.36822,-0.49252,-0.11356,-0.21661,-0.3313,-0.083983,-0.5878,0.20435,0.051701,-0.05135,1
-0.048634,0.19237,-0.17522,0.43208,-0.089521,0.49901,0.10925,0.067778,-0.80674,0.24491,0.010285,1
-0.048715,0.075657,-0.18794,0.25193,0.084203,0.15846,0.63312,-0.37657,0.19798,-0.66025,0.13932,1
0.41578,-0.012871,0.010516,0.055331,-0.56875,-0.25838,0.29639,-0.1481,0.38256,0.42639,-0.18905,1
-0.0059106,-0.26932,-0.023262,-0.052306,-0.13651,-0.20775,0.68809,-0.15141,-0.21544,0.68396,-0.20827,1
0.11398,0.2812,0.47264,-0.073782,0.11849,0.30278,-0.35186,0.022618,-0.55816,0.28511,0.34584,1
-0.16016,-0.33346,0.37645,-0.27996,-0.51168,-0.47092,-0.033499,-0.23664,0.13269,0.43997,-0.16251,1
