52,76281,4,1424,0,34,5,7,3,9,1,40,2,5,1
4,2.1311e+05,9,0,0,23,5,16,5,11,4,40,1,5,1
16,1.732e+05,12,0,0,44,5,10,5,11,2,40,1,5,1
19,2.1875e+05,3,0,0,39,5,6,3,8,1,40,2,5,1
8,1.9568e+05,12,0,0,59,5,10,5,9,2,40,1,5,1
6,1.4867e+05,8,2597,0,39,5,12,5,4,4,40,2,3,1
11,2.8211e+05,9,0,0,39,7,16,5,8,2,40,2,3,1
37,15199,8,0,0,39,5,12,3,5,1,40,2,5,2
16,2.0102e+05,1,0,0,39,5,4,1,8,5,27,1,5,1
4,2.3156e+05,8,0,0,39,5,12,3,6,1,40,2,5,1
15,49613,6,0,0,14,5,2,1,9,5,40,1,5,1
25,1.7348e+05,9,0,0,59,5,16,3,8,1,40,2,5,1
2,2.7941e+05,9,0,0,27,1,16,5,1,4,40,2,5,1
13,1.3148e+05,9,0,0,39,5,16,5,4,2,40,2,5,1
11,1.4534e+05,12,0,0,39,5,10,5,2,2,40,1,5,1
45,1.4762e+05,9,0,0,37,5,16,3,2,6,40,1,5,2
5,31250,9,0,0,39,5,16,3,5,6,40,1,5,1
18,24704,8,0,0,39,5,12,1,4,5,40,2,5,1
9,1.5323e+05,8,0,0,39,5,12,1,4,5,40,2,5,1
27,1.2635e+05,8,0,0,39,8,12,3,8,1,40,2,5,1
16,1.8987e+05,9,2829,0,39,7,16,3,4,1,40,2,5,1
25,2.3894e+05,12,0,0,39,5,10,3,15,1,40,2,5,1
20,2.0836e+05,8,0,0,39,5,12,1,9,5,1,1,3,1
30,1.7124e+05,9,0,0,39,5,16,3,5,6,40,1,3,2
45,1.2249e+05,9,4650,0,39,5,16,1,11,2,40,1,5,1
26,21025,8,0,0,39,5,12,1,2,2,40,1,5,1
57,1.3464e+05,8,0,0,54,7,12,3,13,1,40,2,5,1
9,1.7993e+05,13,0,0,39,3,13,5,11,2,3,1,5,1
25,18966,10,0,0,36,5,9,3,13,1,40,2,5,1
28,1.6802e+05,9,0,0,39,5,16,1,8,5,40,1,5,1
16,1.5769e+05,10,0,0,39,5,9,6,12,2,40,1,5,1
20,1.3573e+05,12,15024,0,39,5,10,3,11,6,40,1,3,2
41,2.183e+05,5,0,0,39,1,1,7,1,5,40,1,3,1
19,2.3281e+05,9,3137,0,49,5,16,3,4,1,9,2,5,1
30,1.5952e+05,9,0,0,39,5,16,1,14,2,40,1,5,1
11,1.3016e+05,8,0,0,39,5,12,5,4,4,40,2,5,1
42,1.031e+05,9,0,0,35,2,16,3,4,1,40,2,5,1
33,1.0875e+05,10,0,0,39,5,9,3,9,6,40,1,3,1
13,1.3064e+05,11,0,0,39,5,8,5,11,2,40,1,5,1
28,1.0762e+05,8,0,0,49,5,12,1,14,2,40,1,5,2
31,2.2667e+05,13,9562,0,39,3,13,1,5,5,40,1,3,2
13,2.3504e+05,8,0,0,39,5,12,6,12,2,40,2,5,2
27,2.3135e+05,10,0,0,39,2,9,3,4,1,40,2,5,2
3,1.876e+05,9,0,0,9,8,16,5,9,4,40,1,5,1
10,1.1815e+05,8,0,0,39,5,12,5,8,2,40,2,5,1
41,1.6508e+05,8,3137,0,15,5,12,3,4,1,40,2,5,1
43,2.8498e+05,9,0,0,14,5,16,7,13,2,40,1,5,1
40,1.2043e+05,12,0,0,44,3,10,3,5,1,40,2,5,1
5,2.851e+05,8,0,0,39,5,12,5,13,4,40,1,3,1
23,65106,8,0,0,39,5,12,3,15,1,40,2,5,1
5,1.0829e+05,9,0,0,39,1,16,5,1,4,40,1,5,1
12,1.7848e+05,8,0,0,43,5,12,1,8,2,40,2,5,1
41,1.566e+05,8,0,0,39,5,12,3,7,1,40,2,5,2
23,1.8124e+05,9,0,0,39,6,16,3,6,1,40,2,5,2
19,1.9734e+05,8,0,0,39,5,12,3,8,1,40,2,5,1
2,1.872e+05,5,0,0,24,5,1,5,7,4,40,2,5,1
26,1.5082e+05,9,0,0,98,7,16,3,6,1,40,2,5,1
7,2.0747e+05,8,0,0,39,5,12,5,2,4,40,2,5,1
6,1.7718e+05,8,0,0,54,5,12,5,13,3,40,2,5,1
24,27296,8,4101,0,39,3,12,6,9,2,40,1,3,1
18,1.7477e+05,8,0,0,59,5,12,1,15,2,40,1,5,2
0,2.0506e+05,5,0,0,4,5,1,5,13,4,40,1,5,1
49,1.622e+05,15,20051,0,34,3,11,3,11,1,24,2,3,2
10,1.5264e+05,8,0,0,39,5,12,5,4,2,40,2,5,1
28,95397,13,0,0,39,5,13,1,5,2,40,1,5,2
5,1.2941e+05,5,0,0,39,5,1,5,4,5,40,2,5,1
19,1.831e+05,8,0,0,39,5,12,3,15,1,40,2,1,1
32,93329,8,0,0,49,7,12,1,13,2,40,2,5,2
8,2.6612e+05,12,0,0,39,5,10,5,11,2,40,2,5,1
6,1.1632e+05,8,0,0,47,5,12,5,13,4,36,2,2,1
21,38815,12,3325,0,39,5,10,1,5,2,40,2,5,1
6,1.6444e+05,6,0,0,39,5,2,3,8,1,34,2,5,1
38,3.8004e+05,12,99999,0,59,6,10,3,13,1,40,2,5,2
16,2.9536e+05,10,0,0,39,5,9,5,5,5,40,1,3,1
32,41197,9,0,0,39,3,16,1,2,5,40,1,3,1
